"","CD","ciudad","abu_sexS","aco_hosS","host_sexS","viola_intS","totalS","n_int_sex","n_abu_sex","n_viola_int","n_aco_hos","n_total","tasa_abu","tasa_aco","tasa_hos","tasa_vio","tasa_tot"
"1",1,"Aguascalientes",0,0,51,129,180,101447,25542,12290,10216,149495,1,1,0.99949727443887,0.989503661513426,0.998795946352721
"2",2,"Mexicali",173,0,43,110,326,67359,17410,2843,7157,94769,0.990063182079265,1,0.999361629477872,0.961308476960957,0.996560056558579
"3",3,"Tijuana",329,0,48,264,641,103159,10531,4705,NA,118395,0.968758902288482,NA,0.99953469886292,0.943889479277365,0.994585920013514
"4",4,"La Paz",70,16,1,42,129,29117,6217,857,4207,40398,0.988740550104552,0.996196814832422,0.999965655802452,0.950991831971995,0.996806772612506
"5",5,"Campeche",34,8,2,52,96,24942,5843,4511,2169,37465,0.994181071367448,0.996311664361457,0.999919813968407,0.988472622478386,0.997437608434539
"6",6,"Saltillo",119,60,7,89,275,57295,13395,NA,1136,71826,0.991116088092572,0.947183098591549,0.999877825290165,NA,0.996171302870827
"7",7,"La Laguna",195,67,2,103,367,108634,20871,5078,6425,141008,0.990656892338652,0.989571984435798,0.999981589557597,0.979716423788893,0.997397310790877
"8",8,"Piedras Negras",38,15,0,7,60,9956,2040,NA,1082,13078,0.981372549019608,0.986136783733826,1,NA,0.995412142529439
"9",9,"Colima",69,0,11,36,116,50741,15044,2822,8768,77375,0.995413453868652,1,0.999783212786504,0.987243090007087,0.998500807754443
"10",10,"Manzanillo",39,0,9,38,86,11415,3900,220,1936,17471,0.99,1,0.999211563731932,0.827272727272727,0.995077557094614
"11",11,"Tuxtla Gutiérrez",36,17,12,67,132,83024,18095,3977,10936,116032,0.99801050013816,0.998445501097293,0.999855463480439,0.983153130500377,0.998862382790954
"12",12,"Tapachula",12,10,6,28,56,16851,3853,1385,3846,25935,0.996885543732157,0.99739989599584,0.99964393804522,0.979783393501805,0.997840755735493
"13",13,"Chihuahua",270,0,53,153,476,90639,23431,18187,20848,153105,0.988476804233707,1,0.999415262745617,0.991587397591686,0.996891022500898
"14",14,"Ciudad Juárez",357,0,34,378,769,163892,42795,23994,37747,268428,0.991657903960743,1,0.999792546310985,0.984246061515379,0.9971351721877
"15",19,"Durango",156,22,4,81,263,50342,14021,5961,14476,84800,0.988873832108979,0.998480243161094,0.999920543482579,0.986411675893306,0.99689858490566
"16",20,"León",198,28,9,120,355,170670,69370,NA,6825,246865,0.99714574023353,0.995897435897436,0.999947266654948,NA,0.99856196706702
"17",21,"Acapulco",63,20,1,56,140,77213,34705,13310,15983,141211,0.998184699611007,0.998748670462366,0.999987048813024,0.995792637114951,0.999008575819164
"18",22,"Chilpancingo de los Bravo",29,13,2,30,74,22310,4517,2366,2948,32141,0.993579809608147,0.995590230664858,0.9999103541013,0.987320371935757,0.997697644752808
"19",23,"Pachuca",49,0,8,44,101,29240,5154,1919,4029,40342,0.990492821109818,1,0.999726402188783,0.977071391349661,0.997496405731
"20",25,"Puerto Vallarta",76,11,4,17,108,25601,8619,NA,5676,39896,0.991182271725258,0.998062015503876,0.999843756103277,NA,0.997292961700421
"21",26,"Toluca",172,94,7,75,348,87751,47581,12260,11681,159273,0.996385111704252,0.991952743771937,0.999920228829301,0.993882544861338,0.997815072234465
"22",27,"Ecatepec de Morelos",241,88,1,178,508,149333,73943,NA,6265,229541,0.99674073272656,0.985953711093376,0.999993303556481,NA,0.997786887745544
"23",28,"Ciudad Nezahualcóyotl",123,41,1,86,251,104855,27943,5626,5626,144050,0.995598182013384,0.992712406683256,0.999990463020361,0.984713828652684,0.998257549461992
"24",29,"Morelia",116,34,8,95,253,83128,32234,7039,4413,126814,0.996401315381274,0.992295490595966,0.999903762871716,0.98650376473931,0.998004952134622
"25",30,"Uruapan",30,12,4,28,74,27926,6953,2705,4850,42434,0.995685315691069,0.997525773195876,0.999856764305665,0.989648798521257,0.998256115379177
"26",31,"Lázaro Cárdenas",19,4,2,14,39,9467,3043,1524,1937,15971,0.99375616168255,0.997934950955085,0.999788739833104,0.990813648293963,0.997558074009142
"27",32,"Cuernavaca",60,10,5,48,123,82560,16179,3382,5576,107697,0.99629148896718,0.998206599713056,0.999939437984496,0.985807214665878,0.998857906905485
"28",33,"Tepic",0,3,0,42,45,48186,11109,NA,6104,65399,1,0.999508519003932,1,NA,0.999311916084344
"29",35,"Oaxaca",37,30,2,38,107,54534,15417,1870,2290,74111,0.99760005189077,0.986899563318777,0.999963325631716,0.979679144385027,0.998556219724467
"30",36,"Puebla",187,32,13,157,389,139400,43583,20946,4350,208279,0.995709336209072,0.99264367816092,0.999906743185079,0.992504535472167,0.998132312907206
"31",37,"Querétaro",232,239,3,218,692,87949,32443,919,1957,123268,0.992848996701908,0.87787429739397,0.999965889322221,0.76278563656148,0.994386215400591
"32",38,"Cancún",230,36,7,198,471,95069,24599,3738,1692,125098,0.990650026423838,0.978723404255319,0.999926369268636,0.947030497592295,0.996234951797791
"33",39,"San Luis Potosí",167,50,13,108,338,118138,28847,9501,17441,173927,0.99421083648213,0.997133191904134,0.999889959200257,0.988632775497316,0.99805665595336
"34",40,"Culiacán",91,25,2,56,174,27276,7956,NA,3340,38572,0.988562091503268,0.99251497005988,0.999926675465611,NA,0.995488955719175
"35",41,"Mazatlán",35,3,1,31,70,57927,11212,4083,11365,84587,0.996878344630753,0.999736031676199,0.999982736892986,0.992407543472937,0.999172449667207
"36",42,"Los Mochis",38,14,2,31,85,6826,2164,NA,908,9898,0.982439926062847,0.984581497797357,0.999707002636976,NA,0.991412406546777
"37",43,"Hermosillo",61,4,0,74,139,103655,19069,6677,16996,146397,0.996801090775604,0.999764650506001,1,0.988917178373521,0.999050526991673
"38",44,"Nogales",10,4,0,9,23,23792,7139,1082,4166,36179,0.998599243591539,0.99903984637542,1,0.991682070240296,0.999364272091545
"39",45,"Villahermosa",58,0,43,80,181,28530,4430,892,3751,37603,0.986907449209932,1,0.998492814581143,0.910313901345291,0.995186554264287
"40",46,"Tampico",15,2,1,19,37,57313,13706,4748,NA,75767,0.998905588793229,NA,0.999982551951564,0.995998315080034,0.999511660749403
"41",47,"Reynosa",76,12,1,67,156,35862,8558,7144,NA,51564,0.991119420425333,NA,0.999972115330991,0.99062150055991,0.996974633465208
"42",48,"Nuevo Laredo",31,1,0,23,55,31432,16677,9356,7458,64923,0.998141152485459,0.999865915795119,1,0.997541684480547,0.999152842598155
"43",49,"Tlaxcala",3,1,0,2,6,42246,11977,3391,3391,61005,0.999749519913167,0.9997051017399,1,0.999410203479799,0.99990164740595
"44",50,"Veracruz",43,0,19,24,86,33781,4096,1625,707,40209,0.989501953125,1,0.999437553654421,0.985230769230769,0.997861175358751
"45",51,"Coatzacoalcos",26,0,12,10,48,27605,5919,502,848,34874,0.99560736610914,1,0.999565296142003,0.9800796812749,0.998623616447783
"46",52,"Mérida",11,1,0,3,15,77400,15366,9727,8434,110927,0.9992841338019,0.999881432297842,1,0.999691580137761,0.999864775933722
"47",53,"Zacatecas",30,13,4,22,69,28267,8455,1798,1956,40476,0.99645180366647,0.993353783231084,0.999858492234761,0.987764182424917,0.998295286095464
"48",54,"Fresnillo",20,12,0,21,53,7426,945,NA,534,8905,0.978835978835979,0.97752808988764,1,NA,0.994048287478944
"49",55,"Los Cabos",77,22,3,64,166,17878,3110,1133,1642,23763,0.97524115755627,0.986601705237515,0.999832195995078,0.94351279788173,0.993014350039978
"50",56,"Ciudad del Carmen",18,5,1,32,56,14563,3687,355,1571,20176,0.995117982099268,0.996817313812858,0.999931332829774,0.909859154929577,0.997224425059477
"51",57,"Guanajuato",25,3,3,34,65,8996,2408,636,636,12676,0.989617940199336,0.995283018867924,0.999666518452646,0.946540880503145,0.994872199431997
"52",58,"Ixtapa-Zihuatanejo",19,6,0,11,36,6750,2236,455,1422,10863,0.991502683363149,0.9957805907173,1,0.975824175824176,0.996685998342999
"53",59,"Guadalajara",209,27,9,64,309,213867,74461,10531,43681,342540,0.997193161520796,0.999381882282915,0.999957917771325,0.993922704396544,0.999097915571904
"54",60,"Tonalá",73,10,0,17,100,50724,20110,9149,8683,88666,0.996369965191447,0.998848324311874,1,0.99814187342879,0.998872171971218
"55",61,"Tlajomulco de Zúñiga",147,6,0,30,183,7739,3025,NA,853,11617,0.951404958677686,0.992966002344666,1,NA,0.984247223896014
"56",62,"San Pedro Tlaquepaque",100,10,1,25,136,77039,26141,2230,10640,116050,0.996174591637657,0.99906015037594,0.999987019561521,0.988789237668161,0.99882809133994
"57",63,"Zapopan",199,24,5,59,287,157664,54598,12057,27920,252239,0.996355177845342,0.999140401146132,0.999968286990055,0.995106577092146,0.998862190224351
"58",64,"Monterrey",165,61,3,149,378,175517,105575,16146,14181,311419,0.998437130002368,0.995698469783513,0.999982907638576,0.990771708163013,0.998786201227285
