"cvemunicipio","total","pob_estim","municipio","tasa"
1002,0,50864,"Asientos",0
1009,0,22743,"Tepezalá",0
2005,26,107859,"Playas de Rosarito",24.1055452025329
3001,8,83051,"Comondú",9.63263536862891
3008,76,330312,"Los Cabos",23.0085494926009
4008,0,11930,"Tenabo",0
5006,0,30568,"Castaños",0
5010,0,87942,"Frontera",0
5014,0,10994,"Jiménez",0
5036,0,23781,"Viesca",0
7009,0,44264,"Arriaga",0
7012,3,56971,"Berriozábal",5.26583700479191
7013,0,38101,"Bochil",0
7015,0,50439,"Cacahoatán",0
7031,0,140023,"Chilón",0
7032,0,34628,"Escuintla",0
7034,0,80805,"Frontera Comalapa",0
7035,0,15741,"Frontera Hidalgo",0
7037,0,38185,"Huehuetán",0
7044,0,29778,"Ixtapa",0
7046,0,43292,"Jiquipilas",0
7051,0,51875,"Mapastepec",0
7052,0,134759,"Las Margaritas",0
7059,0,239322,"Ocosingo",0
7065,0,131491,"Palenque",0
7074,4,49480,"Reforma",8.08407437348424
7077,0,68779,"Salto de Agua",0
7079,0,42939,"San Fernando",0
7080,0,39536,"Siltepec",0
7081,0,48046,"Simojovel",0
7084,0,8812,"Solosuchiapa",0
7085,0,11749,"Soyaló",0
7086,0,26510,"Suchiapa",0
7094,0,47217,"Teopisca",0
7097,0,97839,"Tonalá",0
7102,0,45900,"Tuxtla Chico",0
7103,1,34867,"Tuzantán",2.86804141451803
7107,0,85784,"Villa Corzo",0
7108,4,115691,"Villaflores",3.45748588913571
8003,0,9453,"Allende",0
8005,7,26409,"Ascensión",26.5061153394676
8007,0,17825,"Balleza",0
8010,0,25001,"Buenaventura",0
8011,44,55255,"Camargo",79.6308026422948
8012,0,10083,"Carichí",0
8015,0,1819,"Coyame del Sotol",0
8017,159,181552,"Cuauhtémoc",87.5782145060368
8019,594,949395,"Chihuahua",62.5661605548797
8021,19,160245,"Delicias",11.8568442073076
8026,0,2787,"Gran Morelos",0
8031,10,42409,"Guerrero",23.5799004928199
8032,29,117624,"Hidalgo del Parral",24.65483234714
8036,3,45709,"Jiménez",6.56325887680763
8037,793,1464930,"Juárez",54.1322793580581
8045,7,48242,"Meoqui",14.5101778533228
8050,0,67320,"Nuevo Casas Grandes",0
8052,11,29996,"Ojinaga",36.6715562074943
8054,0,8290,"Riva Palacio",0
10007,72,369760,"Gómez Palacio",19.4720900043271
10013,0,28301,"Mapimí",0
10016,0,20881,"Nombre de Dios",0
10022,3,26935,"Poanas",11.1379246333766
10027,0,5917,"San Juan de Guadalupe",0
10028,0,13310,"San Juan del Río",0
10036,0,24946,"Tlahualilo",0
11001,1,95581,"Abasolo",1.04623303794687
11003,34,183034,"San Miguel de Allende",18.5757837341696
11005,6,99036,"Apaseo el Grande",6.05840300496789
11007,102,530820,"Celaya",19.2155532949022
11009,3,87191,"Comonfort",3.44072209287656
11010,0,12998,"Coroneo",0
11011,0,101319,"Cortazar",0
11012,3,29959,"Cuerámaro",10.0136853700057
11013,2,25606,"Doctor Mora",7.81066937436538
11014,33,160771,"Dolores Hidalgo Cuna de la Independencia Nacional",20.5260899042738
11015,23,198035,"Guanajuato",11.6141086171636
11016,0,22612,"Huanímaro",0
11017,60,610700,"Irapuato",9.82479122318651
11018,0,41154,"Jaral del Progreso",0
11020,754,1679610,"León",44.8913735926793
11021,45,54378,"Moroleón",82.7540549486925
11022,0,24758,"Ocampo",0
11023,10,159968,"Pénjamo",6.25125025005001
11024,0,12620,"Pueblo Nuevo",0
11026,35,62603,"Romita",55.907863840391
11028,8,106978,"Salvatierra",7.47817308231599
11029,6,41588,"San Diego de la Unión",14.4272386265269
11031,25,125904,"San Francisco del Rincón",19.856398525861
11032,3,83562,"San José Iturbide",3.59014863215337
11034,2,5584,"Santa Catarina",35.8166189111748
11035,6,88644,"Santa Cruz de Juventino Rosas",6.76864762420468
11036,0,7327,"Santiago Maravatío",0
11037,13,201020,"Silao de la Victoria",6.46701820714357
11039,2,36574,"Tarimoro",5.46836550555039
11040,0,20238,"Tierra Blanca",0
11042,0,153094,"Valle de Santiago",0
11043,0,21521,"Victoria",0
11044,0,62918,"Villagrán",0
11046,3,73948,"Yuriria",4.0569048520582
12001,1,840795,"Acapulco de Juárez",0.118935055512937
12011,0,62574,"Atoyac de Álvarez",0
12013,0,13164,"Azoyú",0
12014,0,15926,"Benito Juárez",0
12015,0,13737,"Buenavista de Cuéllar",0
12021,0,78931,"Coyuca de Benítez",0
12025,0,16569,"Cuautepec",0
12028,0,133299,"Chilapa de Álvarez",0
12034,0,38696,"Huitzuco de los Figueroa",0
12038,0,130796,"Zihuatanejo de Azueta",0
12040,0,26857,"Leonardo Bravo",0
12050,0,38809,"Pungarabato",0
12052,0,45121,"San Luis Acatlán",0
12053,0,50859,"San Marcos",0
12057,0,66974,"Técpan de Galeana",0
12058,0,59123,"Teloloapan",0
12061,0,44479,"Tixtla de Guerrero",0
12067,0,22706,"Tlapehuala",0
